"SalesDate","Organization","DayOfInterest","DayOfInterestCode","DayOfWeek","DayOfWeekCode","InKingCounty","InKitsapCounty","InPierceCounty","InSnohomishCounty","InSpokaneCounty","InVancouver","IsOrdinaryDay","Log1pDaysSinceOpening","NumLocationsGroup"
2017-05-20,"#HASHTAG","N/A",0,"Saturday",3,1,0,0,0,0,0,1,6.64248680136726,1
2017-05-21,"#HASHTAG","N/A",0,"Sunday",1,1,0,0,0,0,0,1,6.64378973314767,1
2017-05-22,"#HASHTAG","N/A",0,"Monday",2,1,0,0,0,0,0,1,6.64509096950564,1
2017-05-23,"#HASHTAG","N/A",0,"Tuesday",2,1,0,0,0,0,0,1,6.64639051484773,1
2017-05-24,"#HASHTAG","N/A",0,"Wednesday",2,1,0,0,0,0,0,1,6.64768837356333,1
2017-05-25,"#HASHTAG","N/A",0,"Thursday",2,1,0,0,0,0,0,1,6.64898455002478,1
2017-05-26,"#HASHTAG","N/A",0,"Friday",3,1,0,0,0,0,0,1,6.65027904858742,1
2017-05-27,"#HASHTAG","N/A",0,"Saturday",3,1,0,0,0,0,0,1,6.65157187358973,1
2017-05-28,"#HASHTAG","N/A",0,"Sunday",1,1,0,0,0,0,0,1,6.65286302935335,1
2017-05-29,"#HASHTAG","N/A",0,"Monday",2,1,0,0,0,0,0,1,6.65415252018322,1
2017-05-30,"#HASHTAG","N/A",0,"Tuesday",2,1,0,0,0,0,0,1,6.65544035036765,1
2017-05-31,"#HASHTAG","N/A",0,"Wednesday",2,1,0,0,0,0,0,1,6.65672652417839,1
2017-06-01,"#HASHTAG","N/A",0,"Thursday",2,1,0,0,0,0,0,1,6.65801104587075,1
2017-06-02,"#HASHTAG","N/A",0,"Friday",3,1,0,0,0,0,0,1,6.65929391968364,1
2017-06-03,"#HASHTAG","N/A",0,"Saturday",3,1,0,0,0,0,0,1,6.66057514983969,1
2017-06-04,"#HASHTAG","N/A",0,"Sunday",1,1,0,0,0,0,0,1,6.66185474054531,1
2017-06-05,"#HASHTAG","N/A",0,"Monday",2,1,0,0,0,0,0,1,6.6631326959908,1
2017-06-06,"#HASHTAG","N/A",0,"Tuesday",2,1,0,0,0,0,0,1,6.66440902035041,1
2017-06-07,"#HASHTAG","N/A",0,"Wednesday",2,1,0,0,0,0,0,1,6.66568371778241,1
2017-06-08,"#HASHTAG","N/A",0,"Thursday",2,1,0,0,0,0,0,1,6.66695679242921,1
2017-06-09,"#HASHTAG","N/A",0,"Friday",3,1,0,0,0,0,0,1,6.6682282484174,1
2017-06-10,"#HASHTAG","N/A",0,"Saturday",3,1,0,0,0,0,0,1,6.66949808985788,1
2017-06-11,"#HASHTAG","N/A",0,"Sunday",1,1,0,0,0,0,0,1,6.67076632084587,1
2017-06-12,"#HASHTAG","N/A",0,"Monday",2,1,0,0,0,0,0,1,6.67203294546107,1
2017-06-13,"#HASHTAG","N/A",0,"Tuesday",2,1,0,0,0,0,0,1,6.67329796776765,1
2017-06-14,"#HASHTAG","N/A",0,"Wednesday",2,1,0,0,0,0,0,1,6.67456139181443,1
2017-06-15,"#HASHTAG","N/A",0,"Thursday",2,1,0,0,0,0,0,1,6.67582322163485,1
2017-06-16,"#HASHTAG","N/A",0,"Friday",3,1,0,0,0,0,0,1,6.67708346124714,1
2017-06-17,"#HASHTAG","N/A",0,"Saturday",3,1,0,0,0,0,0,1,6.67834211465433,1
2017-06-18,"#HASHTAG","N/A",0,"Sunday",1,1,0,0,0,0,0,1,6.67959918584438,1
2017-06-19,"#HASHTAG","N/A",0,"Monday",2,1,0,0,0,0,0,1,6.68085467879022,1
2017-06-20,"#HASHTAG","N/A",0,"Tuesday",2,1,0,0,0,0,0,1,6.68210859744981,1
2017-06-21,"#HASHTAG","N/A",0,"Wednesday",2,1,0,0,0,0,0,1,6.68336094576627,1
2017-06-22,"#HASHTAG","N/A",0,"Thursday",2,1,0,0,0,0,0,1,6.68461172766793,1
2017-06-23,"#HASHTAG","N/A",0,"Friday",3,1,0,0,0,0,0,1,6.68586094706836,1
2017-06-24,"#HASHTAG","N/A",0,"Saturday",3,1,0,0,0,0,0,1,6.68710860786651,1
2017-06-25,"#HASHTAG","N/A",0,"Sunday",1,1,0,0,0,0,0,1,6.68835471394676,1
2017-06-26,"#HASHTAG","N/A",0,"Monday",2,1,0,0,0,0,0,1,6.68959926917897,1
2017-06-27,"#HASHTAG","N/A",0,"Tuesday",2,1,0,0,0,0,0,1,6.69084227741856,1
2017-06-28,"#HASHTAG","N/A",0,"Wednesday",2,1,0,0,0,0,0,1,6.69208374250663,1
2017-06-29,"#HASHTAG","N/A",0,"Thursday",2,1,0,0,0,0,0,1,6.69332366826995,1
2017-06-30,"#HASHTAG","N/A",0,"Friday",3,1,0,0,0,0,0,1,6.69456205852109,1
2017-04-01,"112TH STREET CANNABIS","N/A",0,"Saturday",3,0,0,1,0,0,0,1,5.50938833662798,1
2017-04-02,"112TH STREET CANNABIS","N/A",0,"Sunday",1,0,0,1,0,0,0,1,5.51342874616498,1
2017-04-03,"112TH STREET CANNABIS","N/A",0,"Monday",2,0,0,1,0,0,0,1,5.51745289646471,1
2017-04-04,"112TH STREET CANNABIS","N/A",0,"Tuesday",2,0,0,1,0,0,0,1,5.52146091786225,1
2017-04-05,"112TH STREET CANNABIS","N/A",0,"Wednesday",2,0,0,1,0,0,0,1,5.52545293913178,1
2017-04-06,"112TH STREET CANNABIS","N/A",0,"Thursday",2,0,0,1,0,0,0,1,5.52942908751142,1
2017-04-07,"112TH STREET CANNABIS","N/A",0,"Friday",3,0,0,1,0,0,0,1,5.53338948872752,1
2017-04-08,"112TH STREET CANNABIS","N/A",0,"Saturday",3,0,0,1,0,0,0,1,5.53733426701854,1
2017-04-09,"112TH STREET CANNABIS","N/A",0,"Sunday",1,0,0,1,0,0,0,1,5.54126354515843,1
2017-04-10,"112TH STREET CANNABIS","N/A",0,"Monday",2,0,0,1,0,0,0,1,5.54517744447956,1
2017-04-11,"112TH STREET CANNABIS","N/A",0,"Tuesday",2,0,0,1,0,0,0,1,5.54907608489522,1
2017-04-12,"112TH STREET CANNABIS","N/A",0,"Wednesday",2,0,0,1,0,0,0,1,5.55295958492162,1
2017-04-13,"112TH STREET CANNABIS","N/A",0,"Thursday",2,0,0,1,0,0,0,1,5.55682806169954,1
2017-04-14,"112TH STREET CANNABIS","N/A",0,"Friday",3,0,0,1,0,0,0,1,5.56068163101553,1
2017-04-15,"112TH STREET CANNABIS","N/A",0,"Saturday",3,0,0,1,0,0,0,1,5.56452040732269,1
2017-04-16,"112TH STREET CANNABIS","N/A",0,"Sunday",1,0,0,1,0,0,0,1,5.5683445037611,1
2017-04-17,"112TH STREET CANNABIS","N/A",0,"Monday",2,0,0,1,0,0,0,1,5.57215403217776,1
2017-04-18,"112TH STREET CANNABIS","N/A",0,"Tuesday",2,0,0,1,0,0,0,1,5.57594910314632,1
2017-04-19,"112TH STREET CANNABIS","N/A",0,"Wednesday",2,0,0,1,0,0,0,1,5.57972982598622,1
2017-04-20,"112TH STREET CANNABIS","FourTwenty",3,"Thursday",2,0,0,1,0,0,0,0,5.5834963087817,1
2017-04-21,"112TH STREET CANNABIS","N/A",0,"Friday",3,0,0,1,0,0,0,1,5.58724865840025,1
2017-04-22,"112TH STREET CANNABIS","N/A",0,"Saturday",3,0,0,1,0,0,0,1,5.59098698051086,1
2017-04-23,"112TH STREET CANNABIS","N/A",0,"Sunday",1,0,0,1,0,0,0,1,5.59471137960184,1
2017-04-24,"112TH STREET CANNABIS","N/A",0,"Monday",2,0,0,1,0,0,0,1,5.59842195899838,1
2017-04-25,"112TH STREET CANNABIS","N/A",0,"Tuesday",2,0,0,1,0,0,0,1,5.6021188208797,1
2017-04-26,"112TH STREET CANNABIS","N/A",0,"Wednesday",2,0,0,1,0,0,0,1,5.605802066296,1
2017-04-27,"112TH STREET CANNABIS","FourTwentySeven",-3,"Thursday",2,0,0,1,0,0,0,0,5.60947179518496,1
2017-04-28,"112TH STREET CANNABIS","N/A",0,"Friday",3,0,0,1,0,0,0,1,5.61312810638807,1
2017-04-29,"112TH STREET CANNABIS","N/A",0,"Saturday",3,0,0,1,0,0,0,1,5.61677109766657,1
2017-04-30,"112TH STREET CANNABIS","N/A",0,"Sunday",1,0,0,1,0,0,0,1,5.62040086571715,1
2017-05-01,"112TH STREET CANNABIS","N/A",0,"Monday",2,0,0,1,0,0,0,1,5.62401750618734,1
2017-05-02,"112TH STREET CANNABIS","N/A",0,"Tuesday",2,0,0,1,0,0,0,1,5.62762111369064,1
2017-05-03,"112TH STREET CANNABIS","N/A",0,"Wednesday",2,0,0,1,0,0,0,1,5.63121178182137,1
2017-05-04,"112TH STREET CANNABIS","N/A",0,"Thursday",2,0,0,1,0,0,0,1,5.63478960316925,1
2017-05-05,"112TH STREET CANNABIS","N/A",0,"Friday",3,0,0,1,0,0,0,1,5.63835466933375,1
2017-05-06,"112TH STREET CANNABIS","N/A",0,"Saturday",3,0,0,1,0,0,0,1,5.64190707093811,1
2017-05-07,"112TH STREET CANNABIS","N/A",0,"Sunday",1,0,0,1,0,0,0,1,5.64544689764324,1
2017-05-08,"112TH STREET CANNABIS","N/A",0,"Monday",2,0,0,1,0,0,0,1,5.64897423816121,1
2017-05-09,"112TH STREET CANNABIS","N/A",0,"Tuesday",2,0,0,1,0,0,0,1,5.65248918026865,1
2017-05-10,"112TH STREET CANNABIS","N/A",0,"Wednesday",2,0,0,1,0,0,0,1,5.65599181081985,1
2017-05-11,"112TH STREET CANNABIS","N/A",0,"Thursday",2,0,0,1,0,0,0,1,5.65948221575962,1
2017-05-12,"112TH STREET CANNABIS","N/A",0,"Friday",3,0,0,1,0,0,0,1,5.66296048013595,1
2017-05-13,"112TH STREET CANNABIS","N/A",0,"Saturday",3,0,0,1,0,0,0,1,5.66642668811243,1
2017-05-14,"112TH STREET CANNABIS","N/A",0,"Sunday",1,0,0,1,0,0,0,1,5.66988092298052,1
2017-05-15,"112TH STREET CANNABIS","N/A",0,"Monday",2,0,0,1,0,0,0,1,5.67332326717149,1
2017-05-16,"112TH STREET CANNABIS","N/A",0,"Tuesday",2,0,0,1,0,0,0,1,5.67675380226828,1
2017-05-17,"112TH STREET CANNABIS","N/A",0,"Wednesday",2,0,0,1,0,0,0,1,5.68017260901707,1
2017-05-18,"112TH STREET CANNABIS","N/A",0,"Thursday",2,0,0,1,0,0,0,1,5.68357976733868,1
2017-05-19,"112TH STREET CANNABIS","N/A",0,"Friday",3,0,0,1,0,0,0,1,5.68697535633982,1
2017-05-20,"112TH STREET CANNABIS","N/A",0,"Saturday",3,0,0,1,0,0,0,1,5.69035945432406,1
2017-05-21,"112TH STREET CANNABIS","N/A",0,"Sunday",1,0,0,1,0,0,0,1,5.6937321388027,1
2017-05-22,"112TH STREET CANNABIS","N/A",0,"Monday",2,0,0,1,0,0,0,1,5.6970934865054,1
2017-05-23,"112TH STREET CANNABIS","N/A",0,"Tuesday",2,0,0,1,0,0,0,1,5.70044357339069,1
2017-05-24,"112TH STREET CANNABIS","N/A",0,"Wednesday",2,0,0,1,0,0,0,1,5.7037824746562,1
2017-05-25,"112TH STREET CANNABIS","N/A",0,"Thursday",2,0,0,1,0,0,0,1,5.70711026474888,1
2017-05-26,"112TH STREET CANNABIS","N/A",0,"Friday",3,0,0,1,0,0,0,1,5.71042701737487,1
2017-05-27,"112TH STREET CANNABIS","N/A",0,"Saturday",3,0,0,1,0,0,0,1,5.71373280550937,1
2017-05-28,"112TH STREET CANNABIS","N/A",0,"Sunday",1,0,0,1,0,0,0,1,5.71702770140622,1
2017-05-29,"112TH STREET CANNABIS","N/A",0,"Monday",2,0,0,1,0,0,0,1,5.72031177660741,1
2017-05-30,"112TH STREET CANNABIS","N/A",0,"Tuesday",2,0,0,1,0,0,0,1,5.72358510195238,1
2017-05-31,"112TH STREET CANNABIS","N/A",0,"Wednesday",2,0,0,1,0,0,0,1,5.7268477475872,1
2017-06-01,"112TH STREET CANNABIS","N/A",0,"Thursday",2,0,0,1,0,0,0,1,5.73009978297357,1
2017-06-02,"112TH STREET CANNABIS","N/A",0,"Friday",3,0,0,1,0,0,0,1,5.73334127689775,1
2017-06-03,"112TH STREET CANNABIS","N/A",0,"Saturday",3,0,0,1,0,0,0,1,5.73657229747919,1
2017-06-04,"112TH STREET CANNABIS","N/A",0,"Sunday",1,0,0,1,0,0,0,1,5.73979291217923,1
2017-06-05,"112TH STREET CANNABIS","N/A",0,"Monday",2,0,0,1,0,0,0,1,5.74300318780948,1
2017-06-06,"112TH STREET CANNABIS","N/A",0,"Tuesday",2,0,0,1,0,0,0,1,5.74620319054015,1
2017-06-07,"112TH STREET CANNABIS","N/A",0,"Wednesday",2,0,0,1,0,0,0,1,5.74939298590825,1
2017-06-08,"112TH STREET CANNABIS","N/A",0,"Thursday",2,0,0,1,0,0,0,1,5.75257263882563,1
2017-06-09,"112TH STREET CANNABIS","N/A",0,"Friday",3,0,0,1,0,0,0,1,5.75574221358691,1
2017-06-10,"112TH STREET CANNABIS","N/A",0,"Saturday",3,0,0,1,0,0,0,1,5.75890177387728,1
2017-06-11,"112TH STREET CANNABIS","N/A",0,"Sunday",1,0,0,1,0,0,0,1,5.76205138278018,1
2017-06-12,"112TH STREET CANNABIS","N/A",0,"Monday",2,0,0,1,0,0,0,1,5.76519110278484,1
2017-06-13,"112TH STREET CANNABIS","N/A",0,"Tuesday",2,0,0,1,0,0,0,1,5.76832099579377,1
2017-06-14,"112TH STREET CANNABIS","N/A",0,"Wednesday",2,0,0,1,0,0,0,1,5.77144112313002,1
2017-06-15,"112TH STREET CANNABIS","N/A",0,"Thursday",2,0,0,1,0,0,0,1,5.77455154554441,1
2017-06-16,"112TH STREET CANNABIS","N/A",0,"Friday",3,0,0,1,0,0,0,1,5.77765232322266,1
2017-06-17,"112TH STREET CANNABIS","N/A",0,"Saturday",3,0,0,1,0,0,0,1,5.78074351579233,1
2017-06-18,"112TH STREET CANNABIS","N/A",0,"Sunday",1,0,0,1,0,0,0,1,5.78382518232974,1
2017-06-19,"112TH STREET CANNABIS","N/A",0,"Monday",2,0,0,1,0,0,0,1,5.78689738136671,1
2017-06-20,"112TH STREET CANNABIS","N/A",0,"Tuesday",2,0,0,1,0,0,0,1,5.78996017089725,1
2017-06-21,"112TH STREET CANNABIS","N/A",0,"Wednesday",2,0,0,1,0,0,0,1,5.79301360838414,1
2017-06-22,"112TH STREET CANNABIS","N/A",0,"Thursday",2,0,0,1,0,0,0,1,5.79605775076537,1
2017-06-23,"112TH STREET CANNABIS","N/A",0,"Friday",3,0,0,1,0,0,0,1,5.79909265446053,1
2017-06-24,"112TH STREET CANNABIS","N/A",0,"Saturday",3,0,0,1,0,0,0,1,5.80211837537706,1
2017-06-25,"112TH STREET CANNABIS","N/A",0,"Sunday",1,0,0,1,0,0,0,1,5.80513496891649,1
2017-06-26,"112TH STREET CANNABIS","N/A",0,"Monday",2,0,0,1,0,0,0,1,5.80814248998044,1
